Room Number,Room Type,Name,Door Count,Locked,Description,Danger,Contents,Special Effect,Miniature
1,Goal,Arbetsrum,1,false,"Mitten av rummet fylls av ett bord med endast en stol. På bordet står en stor modell av vad som liknar ett palats, byggd i vit sten och rött trä. En stor bokhylla står längs vänstra (östra) väggen, i mitten av bokhyllan är ett skrivbord inbyggt. På skrivbordet ligger en bok uppslagen, en fjäderpenna och en bläckflaska står bredvid den. Vid väggen mittemot dörren (södra väggen) står det ett högt skåp med glasdörrar. Skåpet har flera mindre klockverksskapelser i sig, några miniatyrer av byggnader gjorda i sten eller trä, och en elegant nyckel i guld. Den högra (västra) väggen står en pedestal av slät, grå sten flankad av två fina byråer. På byråerna ligger diverse verktyg, pergamentrullar och påbörjade projekt av olika slag. Ovanför pedestalen svävar en ojämn kristall av svart sten och rubin, dess yta full av inristade runor. Fler hyllor med diverse verktyg och material upptar det mesta av det kvarvarande väggutrymmet.",-,"Huvudnyckeln, journalen, tinkers tools, builders wand",Fri från reset,Palats
2,Start,Entrance hall,4,false,-,-,Maelirs brev,Fri från reset,Ingen
3,-,Garderob,1,false,"Rummet har tillräckligt med utrymme för att man ska få plats två personer om man trängs. Längs väggarna hänger kläder av alviskt ursprung. Fina och välbevarade. På golvet står det lådor. En nyckel ligger ovanpå en av lådorna, bredvid en liten minatyr av en bro.",-,Nyckel,Ingen,Bro
4,-,Klädkammare,1,false,"Rummet är litet med väggar klädda i mörk träpanel. Längs vänstra väggen löper ett lågt klädställ där mantlar, kappor och andra kläder i alvisk stil hänger tätt intill varandra, förvånansvärt välbevarade. Ett par av plaggen skimrar svagt i ljuset, broderade med silvertrådar. Mittemot klädstället står en bred träbänk med grönt tyg över sitsen. Ovanför bänken hänger en hög, rektangulär spegel i en ram av trä. På bänken ligger två nycklar i svart metall, och under den står en miniatyr av ett träd. Bakom kläderna: Det enda som göms bakom kläderna är två till miniatyrer. Den ena av ett fyrtorn i vit sten, och den andra av en häst i vitt trä.",-,Två nycklar,Ingen,Fyr
5,-,Förråd,1,false,"Rummet är trångt och överfyllt, med hyllor längs alla väggar och flera lådor staplade i oregelbundna högar. Många av dem är märkta med bleknade runor eller handskrivna etiketter på alviska. En hög stapel med tomma trälådor har rasat i ett hörn. Hyllorna är fyllda med diverse föremål: linor, filtar, flaskor, pergamentrullar, stenar, burkar, och ett stort antal miniatyrmodeller: ett marknadsstånd med små varor noga intäljda, en väderkvarn med ett segel avbrutet, ett stall med öppna dörrar, ett hus med halmtak, en smältugn vars ässja glöder, en fontän med vatten som porlar, och flera vagnar i olika storlekar. Två nycklar i mörk metall hänger på en spik vid dörrkarmen.",-,Två nycklar,Ingen,"Väderkvarn, Smältugn"
6,-,Valv,1,false,"En liten kammare med endast tre saker i sig. En stor dörr i metall med ett kraftigt hänglås, ett litet bord till höger, och en bok som ligger ovanpå bordet. Om de kommer genom dörren: Ett rum med kala stenväggar och stengolv. På golvet står tre stora kistor med locken öppna. I dem ligger högar med mynt, och en liten modell av ett palats i solitt guld.",-,"11587 guld, 439 platinum, guld miniatyr värde 250 guld.",Ingen,Palats
7,-,Svit,1,false,-,-,-,-,-
8,-,Gästrum,1,false,-,-,-,-,-
9,-,Rustkammare,1,false,"Rummet är oktagonalt och i mitten står en oktagonal pelare som sträcker sig från golv till tak. Väggarna är byggda av grå stenar och det hänger gröna drapperier över dem. Drapperierna hänger från taket och är knutna till metallringar i rummets hörn. Vid varje kant runt pelaren står det en rustning. Längst kantenerna av rummet står det bord och vapenrack. Det finns ett antal svärd, några spjut och knivar, samt två glaives spridda mellan racken och borden. På bordet på rummets vänstra sida står även några miniatyrmodeller uppsatta i någon sorts scen: Ett marknadsstånd står bredvid en vagn, en fontän med vad som ser ut som riktigt vatten står en bit framför ståndet, och på fontänens andra sida står det en smältugn vars ässja brinner med ett vacklande sken.",Animated Armor,"Mithral Splint, Vicious Glaive",Ingen,Smältugn
10,-,Vinkällare,1,false,"En stentrappa leder nedåt, in i ett svagt upplyst rum. Mitt i rummet står ett litet, runt bord tillsammans med två enkla trästolar. Väggarna i rummet är täckta av hyllor, på dem ligger flaskor fyllda av vätskor. Vätskorna är i olika färger, från mörkt röda, till bärnstensfärgade, till svagt gyllene. På en av hyllorna står en miniatyrväderkvarn, vars vingar sakta rotetar.","Tre förgiftade vinflaskor (2 röda, 1 brandy)","Tre förgiftade vinflaskor (2 röda, 1 brandy), 17 flaskor rött vin, 7 flaskor brandy, 12 flaskor vitt vin",Kan inte vara full här,Väderkvarn
